0.33115E-02    0.86804E+04
0.33784E-02    0.88143E+04
0.34467E-02    0.89494E+04
0.35163E-02    0.90857E+04
0.35874E-02    0.92233E+04
0.36598E-02    0.93620E+04
0.37338E-02    0.95018E+04
0.38092E-02    0.96428E+04
0.38861E-02    0.97848E+04
0.39646E-02    0.99279E+04
0.40447E-02    0.10072E+05
0.41264E-02    0.10217E+05
0.42098E-02    0.10363E+05
0.42948E-02    0.10510E+05
0.43816E-02    0.10658E+05
0.44701E-02    0.10806E+05
0.45604E-02    0.10956E+05
0.46525E-02    0.11106E+05
0.47465E-02    0.11257E+05
0.48424E-02    0.11408E+05
0.49402E-02    0.11560E+05
0.50400E-02    0.11712E+05
0.51419E-02    0.11865E+05
0.52457E-02    0.12019E+05
0.53517E-02    0.12172E+05
0.54598E-02    0.12326E+05
0.55701E-02    0.12480E+05
0.56826E-02    0.12634E+05
0.57974E-02    0.12788E+05
0.59145E-02    0.12942E+05
0.60340E-02    0.13096E+05
0.61559E-02    0.13250E+05
0.62803E-02    0.13403E+05
0.64072E-02    0.13556E+05
0.65366E-02    0.13708E+05
0.66686E-02    0.13860E+05
0.68033E-02    0.14010E+05
0.69408E-02    0.14160E+05
0.70810E-02    0.14309E+05
0.72240E-02    0.14457E+05
0.73700E-02    0.14604E+05
0.75189E-02    0.14749E+05
0.76708E-02    0.14894E+05
0.78257E-02    0.15036E+05
0.79838E-02    0.15178E+05
0.81451E-02    0.15317E+05
0.83096E-02    0.15454E+05
0.84775E-02    0.15590E+05
0.86488E-02    0.15723E+05
0.88235E-02    0.15854E+05
0.90017E-02    0.15982E+05
0.91836E-02    0.16107E+05
0.93691E-02    0.16229E+05
0.95583E-02    0.16349E+05
0.97514E-02    0.16465E+05
0.99484E-02    0.16577E+05
0.10149E-01    0.16686E+05
0.10354E-01    0.16791E+05
0.10564E-01    0.16892E+05
0.10777E-01    0.16989E+05
0.10995E-01    0.17082E+05
0.11217E-01    0.17171E+05
0.11443E-01    0.17255E+05
